epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,49464.4,1.51908,1.04568,0.90062,0.42412,0.31656,0.31482,0.18035,1.45235,1.04363,0.90059,0.000230979,0.000230979,0.000230979
43,69399.7,1.50769,1.0371,0.90193,0.42949,0.31071,0.31676,0.18065,1.45058,1.04101,0.90089,0.000219198,0.000219198,0.000219198
44,70522.9,1.49819,1.0324,0.89959,0.42147,0.32185,0.31808,0.18191,1.44574,1.039,0.89876,0.000207417,0.000207417,0.000207417
45,71653.8,1.49784,1.03236,0.89962,0.43052,0.31627,0.31868,0.18213,1.44806,1.03805,0.90001,0.000195636,0.000195636,0.000195636
46,1203.46,1.51593,1.05791,0.91251,0.42396,0.31614,0.31982,0.18231,1.44785,1.03985,0.90247,0.000183855,0.000183855,0.000183855
47,2380.63,1.50136,1.0291,0.90108,0.42422,0.32578,0.32239,0.18305,1.44782,1.03471,0.9026,0.000172074,0.000172074,0.000172074
48,3557.7,1.50041,1.02432,0.90014,0.44208,0.31897,0.3226,0.18334,1.44421,1.03259,0.90123,0.000160293,0.000160293,0.000160293
49,4722.55,1.48057,1.01562,0.89877,0.4275,0.32035,0.32169,0.18322,1.4409,1.03135,0.89939,0.000148512,0.000148512,0.000148512
50,5955.35,1.48579,1.01539,0.89822,0.43193,0.32144,0.32245,0.18381,1.44089,1.0321,0.90149,0.000136731,0.000136731,0.000136731
51,7047.36,1.43966,0.9909,0.90117,0.4235,0.32252,0.31863,0.18211,1.44322,1.03552,0.9,0.00012495,0.00012495,0.00012495
52,8153.06,1.42498,0.96878,0.90005,0.42458,0.31861,0.3186,0.18157,1.44755,1.03314,0.90204,0.000113169,0.000113169,0.000113169
53,9273.67,1.42042,0.96576,0.89859,0.42863,0.31862,0.31965,0.18289,1.44034,1.02971,0.90002,0.000101388,0.000101388,0.000101388
54,10338.2,1.41455,0.95771,0.89622,0.43333,0.31809,0.32186,0.18416,1.44199,1.02693,0.90028,8.9607e-05,8.9607e-05,8.9607e-05
55,11394.7,1.40909,0.95274,0.89599,0.42315,0.32672,0.32344,0.18595,1.43639,1.02273,0.89948,7.7826e-05,7.7826e-05,7.7826e-05
56,12453.3,1.40781,0.94937,0.89569,0.43367,0.32066,0.32245,0.1853,1.43925,1.02545,0.8992,6.6045e-05,6.6045e-05,6.6045e-05
57,13525.8,1.40835,0.94673,0.8954,0.43883,0.31913,0.32201,0.18549,1.43828,1.02201,0.89915,5.4264e-05,5.4264e-05,5.4264e-05
58,14588.9,1.40148,0.94234,0.89415,0.43322,0.3226,0.32316,0.18505,1.43778,1.02277,0.89911,4.2483e-05,4.2483e-05,4.2483e-05
59,15856.4,1.40296,0.94126,0.89315,0.43667,0.32155,0.32474,0.18505,1.43534,1.02007,0.89872,3.0702e-05,3.0702e-05,3.0702e-05
60,17171.5,1.39865,0.93912,0.89438,0.43145,0.3219,0.32324,0.18531,1.43548,1.02025,0.89846,1.8921e-05,1.8921e-05,1.8921e-05
